#,station,stationTamil,line,direction,sequence,platform,level,type,isTerminal,duration,terminalStation,terminalStationTamil,id
32,Tollgate Metro,சுங்கச்சாவடி மெட்ரோ,Blue,return,6,P1,L1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Tollgate Metro - P1 - L1
33,New Washermanpet Metro,புது வண்ணாரபேட்டை மெட்ரோ,Blue,return,7,P1,L1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,New Washermanpet Metro - P1 - L1
34,Tondiarpet Metro,தண்டையார்பேட்டை மெட்ரோ,Blue,return,8,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Tondiarpet Metro - P1 - B1
35,Sir Thiyagaraya College Metro,சர் தியாகராயா கல்லூரி மெட்ரோ,Blue,return,9,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Sir Thiyagaraya College Metro - P1 - B1
36,Washermanpet Metro,வண்ணாரபேட்டை மெட்ரோ,Blue,return,10,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Washermanpet Metro - P1 - B1
37,Mannadi,மண்ணடி,Blue,return,11,P1,B1,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Mannadi - P1 - B1
38,Highcourt,ஹைகோர்ட்,Blue,return,12,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Highcourt - P1 - B1
39,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Blue,return,13,P5,B2,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Puratchi Thalaivar Dr. MG Ramachandran Central Metro - P5 - B2
40,Government Estate,அரசினர் தோட்டம்,Blue,return,14,P1,B1,train,FALSE,4,Chennai Airport,சென்னை விமான நிலையம்,Government Estate - P1 - B1
41,LIC,எல் ஐ சி,Blue,return,15,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,LIC - P1 - B1
42,Thousand Lights,ஆயிரம் விளக்கு,Blue,return,16,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Thousand Lights - P1 - B1
43,AG-DMS,ஏஜி-டிஎம்எஸ்,Blue,return,17,P1,B1,train,FALSE,4,Chennai Airport,சென்னை விமான நிலையம்,AG-DMS - P1 - B1
44,Teynampet,தேனாம்பேட்டை,Blue,return,18,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Teynampet - P1 - B1
45,Nandanam,நந்தனம்,Blue,return,19,P1,B1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Nandanam - P1 - B1
46,Saidapet,சைதாபேட்டை,Blue,return,20,P1,B1,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Saidapet - P1 - B1
47,Little Mount,லிட்டில் மவுண்ட்,Blue,return,21,P1,L1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,Little Mount - P1 - L1
48,Guindy Metro,கிண்டி மெட்ரோ,Blue,return,22,P1,L1,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Guindy Metro - P1 - L1
49,Arignar Anna Alandur Metro,அறிஞர் அண்ணா ஆலந்தூர் மெட்ரோ,Blue,return,23,P1,L1,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Arignar Anna Alandur Metro - P1 - L1
50,OTA Nanganallur Road,OTA நங்கநல்லூர் ரோட்,Blue,return,24,P1,L1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,OTA Nanganallur Road - P1 - L1
51,Meenambakkam Metro,மீனம்பாக்கம் மெட்ரோ,Blue,return,25,P1,L1,train,FALSE,5,Chennai Airport,சென்னை விமான நிலையம்,Meenambakkam Metro - P1 - L1
52,Chennai Airport,சென்னை விமான நிலையம்,Blue,return,26,P1,L1,train,TRUE,2,Chennai Airport,சென்னை விமான நிலையம்,Chennai Airport - P1 - L1
53,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Green,onward,1,P1,L2,train,TRUE,,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,St. Thomas Mount Metro - P1 - L2
54,Arignar Anna Alandur Metro,அறிஞர் அண்ணா ஆலந்தூர் மெட்ரோ,Green,onward,2,P4,L2,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Arignar Anna Alandur Metro - P4 - L2
55,Ekkattuthangal,ஈக்காட்டுதாங்கல்,Green,onward,3,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Ekkattuthangal - P2 - L1
56,Ashok Nagar,அசோக் நகர்,Green,onward,4,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Ashok Nagar - P2 - L1
57,Vadapalani,வடபழனி,Green,onward,5,P2,L1,train,FALSE,4,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Vadapalani - P2 - L1
58,Arumbakkam,அரும்பாக்கம்,Green,onward,6,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Arumbakkam - P2 - L1
59,Puratchi Thalaivi Dr.J.Jayalalitha Koyambedu CMBT Metro,புரட்சி தலைவி டாக்டர் ஜெ. ஜெயலலிதா புறநகர் பேருந்து நிலையம் மெட்ரோ,Green,onward,7,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Puratchi Thalaivi Dr.J.Jayalalitha Koyambedu CMBT Metro - P2 - L1
60,Koyambedu,கோயம்பேடு,Green,onward,8,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Koyambedu - P2 - L1
61,Thirumangalam,திருமங்கலம்,Green,onward,9,P2,B1,train,FALSE,4,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Thirumangalam - P2 - B1
62,Anna Nagar Tower,அண்ணா நகர் பூங்கா கோபுரம்,Green,onward,10,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Anna Nagar Tower - P2 - B1
63,Anna Nagar East,அண்ணாநகர் கிழக்கு,Green,onward,11,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Anna Nagar East - P2 - B1
64,Shenoy Nagar,செனாய் நகர்,Green,onward,12,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Shenoy Nagar - P2 - B1
65,Pachaiyappa's College,பச்சையப்பன் கல்லூரி,Green,onward,13,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Pachaiyappa's College - P2 - B1
66,Kilpauk,கீழ்பாக்கம்,Green,onward,14,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Kilpauk - P2 - B1
67,Nehru Park,நேரு பூங்கா,Green,onward,15,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Nehru Park - P2 - B1
68,Egmore,எழும்பூர்,Green,onward,16,P2,B1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Egmore - P2 - B1
69,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Green,onward,17,P1,B1,train,TRUE,4,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Puratchi Thalaivar Dr. MG Ramachandran Central Metro - P1 - B1
70,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Green,return,1,P1,B1,train,TRUE,,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Puratchi Thalaivar Dr. MG Ramachandran Central Metro - P1 - B1
71,Egmore,எழும்பூர்,Green,return,2,P1,B1,train,FALSE,4,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Egmore - P1 - B1
72,Nehru Park,நேரு பூங்கா,Green,return,3,P1,B1,train,FALSE,2,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Nehru Park - P1 - B1
73,Kilpauk,கீழ்பாக்கம்,Green,return,4,P1,B1,train,FALSE,2,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Kilpauk - P1 - B1
74,Pachaiyappa's College,பச்சையப்பன் கல்லூரி,Green,return,5,P1,B1,train,FALSE,2,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Pachaiyappa's College - P1 - B1
75,Shenoy Nagar,செனாய் நகர்,Green,return,6,P1,B1,train,FALSE,2,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Shenoy Nagar - P1 - B1
76,Anna Nagar East,அண்ணாநகர் கிழக்கு,Green,return,7,P1,B1,train,FALSE,2,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Anna Nagar East - P1 - B1
77,Anna Nagar Tower,அண்ணா நகர் பூங்கா கோபுரம்,Green,return,8,P1,B1,train,FALSE,2,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Anna Nagar Tower - P1 - B1
78,Thirumangalam,திருமங்கலம்,Green,return,9,P1,B1,train,FALSE,2,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Thirumangalam - P1 - B1
79,Koyambedu,கோயம்பேடு,Green,return,10,P1,L1,train,FALSE,4,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Koyambedu - P1 - L1
80,Puratchi Thalaivi Dr.J.Jayalalitha Koyambedu CMBT Metro,புரட்சி தலைவி டாக்டர் ஜெ. ஜெயலலிதா புறநகர் பேருந்து நிலையம் மெட்ரோ,Green,return,11,P1,L1,train,FALSE,3,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Puratchi Thalaivi Dr.J.Jayalalitha Koyambedu CMBT Metro - P1 - L1
81,Arumbakkam,அரும்பாக்கம்,Green,return,12,P1,L1,train,FALSE,3,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Arumbakkam - P1 - L1
82,Vadapalani,வடபழனி,Green,return,13,P1,L1,train,FALSE,3,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Vadapalani - P1 - L1
83,Ashok Nagar,அசோக் நகர்,Green,return,14,P1,L1,train,FALSE,4,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Ashok Nagar - P1 - L1
84,Ekkattuthangal,ஈக்காட்டுதாங்கல்,Green,return,15,P1,L1,train,FALSE,3,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Ekkattuthangal - P1 - L1
85,Arignar Anna Alandur Metro,அறிஞர் அண்ணா ஆலந்தூர் மெட்ரோ,Green,return,16,P3,L2,train,FALSE,3,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Arignar Anna Alandur Metro - P3 - L2
86,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,Green,return,17,P1,L2,train,TRUE,3,St. Thomas Mount Metro,பரங்கிமலை மெட்ரோ,St. Thomas Mount Metro - P1 - L2
87,Chennai Airport,சென்னை விமான நிலையம்,Inter,onward,1,P2,L1,train,TRUE,,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Chennai Airport - P2 - L1 - Inter
88,Meenambakkam Metro,மீனம்பாக்கம் மெட்ரோ,Inter,onward,2,P2,L1,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Meenambakkam Metro - P2 - L1 - Inter
89,OTA Nanganallur Road,OTA நங்கநல்லூர் ரோட்,Inter,onward,3,P2,L1,train,FALSE,5,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,OTA Nanganallur Road - P2 - L1 - Inter
90,Arignar Anna Alandur Metro,அறிஞர் அண்ணா ஆலந்தூர் மெட்ரோ,Inter,onward,4,P4,L2,train,FALSE,2,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Arignar Anna Alandur Metro - P4 - L2 - Inter
91,Ekkattuthangal,ஈக்காட்டுதாங்கல்,Inter,onward,5,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Ekkattuthangal - P2 - L1 - Inter
92,Ashok Nagar,அசோக் நகர்,Inter,onward,6,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Ashok Nagar - P2 - L1 - Inter
93,Vadapalani,வடபழனி,Inter,onward,7,P2,L1,train,FALSE,4,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Vadapalani - P2 - L1 - Inter
94,Arumbakkam,அரும்பாக்கம்,Inter,onward,8,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Arumbakkam - P2 - L1 - Inter
95,Puratchi Thalaivi Dr.J.Jayalalitha Koyambedu CMBT Metro,புரட்சி தலைவி டாக்டர் ஜெ. ஜெயலலிதா புறநகர் பேருந்து நிலையம் மெட்ரோ,Inter,onward,9,P2,L1,train,FALSE,3,Puratchi Thalaivar Dr. MG Ramachandran Central Metro,புரட்சி தலைவர் டாக்டர் எம்ஜி ராமசந்திரன் சென்ட்ரல் மெட்ரோ,Puratchi Thalaivi Dr.J.Jayalalitha Koyambedu CMBT Metro - P2 - L1 - Inter
