#,station,stationTamil,line,direction,sequence,platform,level,type,isTerminal,duration,terminalStation,terminalStationTamil,id
116,Puratchi Thalaivi Dr.J.Jayalalitha Koyambedu CMBT Metro,புரட்சி தலைவி டாக்டர் ஜெ. ஜெயலலிதா புறநகர் பேருந்து நிலையம் மெட்ரோ,Inter,return,11,P1,L1,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Puratchi Thalaivi Dr.J.Jayalalitha Koyambedu CMBT Metro - P1 - L1 - Inter
117,Arumbakkam,அரும்பாக்கம்,Inter,return,12,P1,L1,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Arumbakkam - P1 - L1 - Inter
118,Vadapalani,வடபழனி,Inter,return,13,P1,L1,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Vadapalani - P1 - L1 - Inter
119,Ashok Nagar,அசோக் நகர்,Inter,return,14,P1,L1,train,FALSE,4,Chennai Airport,சென்னை விமான நிலையம்,Ashok Nagar - P1 - L1 - Inter
120,Ekkattuthangal,ஈக்காட்டுதாங்கல்,Inter,return,15,P1,L1,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Ekkattuthangal - P1 - L1 - Inter
121,Arignar Anna Alandur Metro,அறிஞர் அண்ணா ஆலந்தூர் மெட்ரோ,Inter,return,16,P3,L2,train,FALSE,3,Chennai Airport,சென்னை விமான நிலையம்,Arignar Anna Alandur Metro - P3 - L2 - Inter
122,OTA Nanganallur Road,OTA நங்கநல்லூர் ரோட்,Inter,return,17,P1,L1,train,FALSE,2,Chennai Airport,சென்னை விமான நிலையம்,OTA Nanganallur Road - P1 - L1 - Inter
123,Meenambakkam Metro,மீனம்பாக்கம் மெட்ரோ,Inter,return,18,P1,L1,train,FALSE,5,Chennai Airport,சென்னை விமான நிலையம்,Meenambakkam Metro - P1 - L1 - Inter
124,Chennai Airport,சென்னை விமான நிலையம்,Inter,return,19,P2,L1,train,TRUE,2,Chennai Airport,சென்னை விமான நிலையம்,Chennai Airport - P2 - L1 - Inter
125,Arignar Anna Alandur Metro,அறிஞர் அண்ணா ஆலந்தூர் மெட்ரோ,,,,EAST,G,lift/steps/escalator,FALSE,2,,,Arignar Anna Alandur Metro - EAST
126,Arignar Anna Alandur Metro,அறிஞர் அண்ணா ஆலந்தூர் மெட்ரோ,,,,WEST,G,lift/steps/escalator,FALSE,2,,,Arignar Anna Alandur Metro - WEST
